UP,FAZENDA,AREA_HA,NÚCLEO,x,y
C1AA,SAGRADA FAMILIA (I),"72,484299",CS1,"-53,548162","-20,347363"
C1AB,CHACARA INVEJADO (I),"191,556034",CS1,"-53,697964","-20,472653"
C1AC,KLEBER (I),"282,150942",CS1,"-53,557801","-20,343833"
C1AD,ACAPU (I),"345,245698",CS1,"-53,763437","-20,100274"
C1AE,ESPINGARDA - MATEIRA (I),"636,906022",CS1,"-53,839955","-20,347236"
C1AF,BOM JARDIM (I),"689,636318",CS1,"-53,216439","-20,397572"
C1AG,ESPINGARDA II (I),"902,915206",CS1,"-53,531191","-20,333386"
C1AH,LEOPOLDINA (I),"1751,972828",CS1,"-53,676919","-20,190839"
C1AI,SANTA CLARA (I),"2250,899848",CS1,"-53,532169","-20,17497"
C1AJ,IPYTÁ (I),"2321,859669",CS1,"-53,719754","-20,114111"
C1AK,IPUÃ (I),"2414,215212",CS1,"-53,746911","-20,135378"
C1AL,SÃO MIGUEL (I),"2442,605033",CS1,"-53,687967","-20,155111"
C1AM,LCD (I),"2574,161792",CS1,"-53,674848","-20,229998"
C1AN,SÃO CARLOS (I),"4088,483114",CS1,"-53,629708","-20,184955"
C1AO,ESPINGARDA - MAMPEI (I),"5293,210404",CS1,"-53,655118","-20,388595"
C1AP,BOI PRETO (I),"17460,57606",CS1,"-53,567089","-20,442891"
C1AS,GUARANI (I),"2756,213646",CS1,"-53,573179","-20,040791"
C1AT,GRANOL -  MODELO I (I),"2616,615422",CS1,"-53,644462","-20,057486"
C1AU,RETIRO BELO HORIZONTE (I),"1256,332701",CS1,"-53,395751","-20,165526"
C1AV,AURORA (I),"845,419369",CS1,"-53,565128","-20,27931"
C1AW,RAINHA DA PAZ (I),"2005,619908",CS1,"-53,553941","-20,312304"
C1AX,LAGEADO (I),"1148,749816",CS1,"-53,521304","-20,379295"
C1AY,BOM PASTOR (I),"125,882307",CS1,"-53,543056","-20,392712"
C1AZ,LAGOA COMPRIDA (I),"1075,2468",CS1,"-53,223759","-20,428441"
C1BA,CAMPO LIMPO (I),"1931,160946",CS1,"-53,55698","-20,167133"
C1BB,CHACRINHAS BONANZA (I),"48,18207",CS1,"-53,698512","-20,492593"
C1BC,PENA ROJA (I),"6471,689525",CS1,"-53,650606","-19,950601"
C1BD,LALUVI (I),"633,563508",CS1,"-53,573343","-20,008953"
C1BG,ARARAS,"1419,406038",CS1,"-53,482994","-20,147998"
C1BH,BELA VISTA,"1387,710485",CS1,"-53,682403","-20,103683"
C1BI,SANTO ANTONIO,"677,579857",CS1,"-53,221157","-20,383411"
C1BJ,SAO PEDRO,"777,16774",CS1,"-53,16867","-20,388843"
C1BK,RECANTO PASSARA,"136,585105",CS1,"-53,705748","-20,519448"
C1BL,FORTUNA,"735,609018",CS1,"-53,702868","-20,091671"
C1BM,EMA  (F-H099 ),"2606,849475",CS1,"-52,803863","-20,50918"
C1BN,MAJOR VICENTE  (F-H135 ),"1037,294296",CS1,"-52,769995","-20,457761"
C1BO,ANA ROSA  (F-H011 ),"1810,502302",CS1,"-52,680705","-20,142623"
C1BP,FORMOSO  (F-H098 ),"3287,907204",CS1,"-53,077231","-20,422817"
C1BQ,SANTA CLARA  (F-H136 ),"1537,283363",CS1,"-52,983778","-20,417678"
C1BR,FORMOSA  (F-H156 ),"21902,65171",CS1,"-53,175342","-20,187358"
C1BV,VITÓRIA,"353,552085",CS1,"-53,594424","-20,559333"
C1CA,RANCHO FUNDO,"1310,930107",CS1,"-52,947675","-20,44532"
C1CB,SANTINA,"1892,310349",CS1,"-53,670279","-20,073562"
C1CC,SANTO ANTÔNIO,"2209,168917",CS1,"-53,815882","-19,99622"
C1CE,SÃO SEBASTIÃO,"1492,062198",CS1,"-53,426346","-19,990593"
C1CF,VÓ CECÍLIA,"340,144076",CS1,"-53,705359","-20,062258"
C1CG,OSWALDO CRUZ,"1267,40347",CS1,"-53,367043","-19,99099"
C1CH,RECANTO DOS PÁSSAROS,"150,722596",CS1,"-53,721038","-20,527839"
C1CI,CHAVE DE OURO,"2824,994272",CS1,"-53,500284","-20,119187"
C1CJ,SETE MARIAS,"1944,849069",CS1,"-53,732499","-20,397359"
C1CK,SANTO ANTONIO VI,"1358,484661",CS1,"-53,520768","-20,525427"
C1CL,SOL NASCENTE,"850,509429",CS1,"-53,598999","-20,514192"
C1CM,ONÇA PINTADA,"4038,22658",CS1,"-53,918036","-19,744811"
C1CN,SANTA LUCIA II,"608,723899",CS1,"-53,858274","-20,162776"
C1CO,NATIVA,"425,27811",CS1,"-53,846192","-20,190316"
C1CP,MONTANA,"6472,472098",CS1,"-53,527787","-19,93116"
C1CQ,VÓ MADALENA,"230,953941",CS1,"-52,750112","-20,457527"
C1CR,TRÊS MARRECAS,"972,820691",CS1,"-53,696787","-20,262685"
C1CS,TOCA DA ONÇA,"435,65622",CS1,"-53,819058","-20,067283"
C1CT,LIMÃO,"1086,756354",CS1,"-53,863555","-19,864788"
C1CU,RANCHO FUNDO III,"405,105023",CS1,"-53,432369","-19,897351"
C1CV,2R,"84,017391",CS1,"-53,510499","-20,509722"
C1CW,SANTA ROSA VI,"841,277745",CS1,"-53,547357","-20,548348"
C1CX,BARREIRO,"1788,569748",CS1,"-53,845814","-19,892976"
C1CY,ARROZ QUEIMADO,"659,494419",CS1,"-53,622196","-20,030297"
C1CZ,BURITI IV,"1039,955719",CS1,"-53,534658","-20,26122"
C1DA,LAGEADO II,"957,841475",CS1,"-53,246782","-20,360153"
C1DB,BONANZA,"3649,172438",CS1,"-53,421847","-20,34187"
C1DE,ALTO MANTENA,"940,100899",CS1,"-53,600942","-20,375913"
C1DF,SÍTIO SANTO ANTÔNIO II,"64,026127",CS1,"-53,704653","-20,508762"
C1DG,MARACATU,"2404,458989",CS1,"-53,803335","-20,105654"
C1DH,LAJEADO II,"2353,328724",CS1,"-53,331043","-20,149464"
C1DI,SANTA REGINA,"1469,584071",CS1,"-53,76598","-19,995176"
C1DK,JAIC I,"876,311815",CS1,"-53,535004","-19,99679"
C1DL,SANTA MARIA X,"1071,082573",CS1,"-53,602563","-19,964858"
C1DM,SANTA MARTA,"484,104886",CS1,"-53,015764","-20,770418"
C1DN,SÃO JUDAS TADEU II,"741,049463",CS1,"-52,735177","-20,462562"
C1DO,CABECEIRA COMPRIDA-NOSSA SRA FATIMA,"4746,242117",CS1,"-53,392932","-20,086867"
C1DP,OLIVEIRA - IFI,"1238,710378",CS1,"-52,878926","-20,149682"
C1DQ,JACARÉ,"774,772414",CS1,"-52,854313","-20,213601"
C1DR,SÍTIO LILASES,"77,346048",CS1,"-53,730426","-20,519448"
C1DS,BARRA DO LOBO E FERREIROS,"1012,058872",CS1,"-52,86364","-20,523138"
C1DT,VÓ NADIR,"2252,975964",CS1,"-53,384014","-20,436123"
C1DU,DOIS IRMÃOS II,"502,07445",CS1,"-53,792464","-19,938615"
C1DV,SANTA CLARA III,"382,548112",CS1,"-53,892039","-20,22885"
C1DW,LA AGUADA,"2409,95348",CS1,"-53,631354","-19,672709"
C1DX,TODOS OS SANTOS,"2512,685072",CS1,"-53,706945","-19,810173"
C1DY,BOA AGUADA,"5457,197342",CS1,"-53,258793","-20,312371"
C1DZ,BARRADO LOBO E FERREIROS II,"1012,046155",CS1,"-52,8601","-20,503094"
C1EA,LARANJAL,"828,561926",CS1,"-53,079994","-20,35851"
C1EB,TUCANO,"3774,954475",CS1,"-53,550339","-20,084094"
C1EC,INVEJANDO,"12,715409",CS1,"-53,701268","-20,489654"
C1ED,ARATACA,"2469,998897",CS1,"-53,984356","-20,127483"
C1EE,2R GLEBA 03,"96,810303",CS1,"-53,537995","-20,524871"
C1EF,FLÓRIDA,"1583,231832",CS1,"-53,598999","-20,014851"
C1EG,2R GLEBA 01,"153,125244",CS1,"-53,495154","-20,514007"
C1EH,LARANJAL II,"1785,659708",CS1,"-53,094171","-20,383416"
C1EI,SÃO JOÃO V,"6506,928674",CS1,"-53,377795","-19,618289"
C1EJ,NIRVANA,"25,050351",CS1,"-53,700406","-20,500834"
C1EK,FUTURA GLEBA  A,"618,202918",CS1,"-53,352712","-20,060056"
C1EL,ARARAS II,"232,215719",CS1,"-53,522762","-20,052089"
C1EM,SERENATA,"1496,136732",CS1,"-53,60295","-19,803517"
C1EN,SANTA ANA,"1000,794102",CS1,"-53,385316","-19,931742"
C1EO,CÓRREGO DO BRAÇO,"2158,223303",CS1,"-53,830578","-19,73174"
C1EP,SANTA ROSA DO ALEGRIA,"755,24251",CS1,"-53,831747","-20,299521"
C1EQ,TARUMÃ II,"1287,26547",CS1,"-53,57807","-20,11276"
C1ER,SABATACHE,"3914,7553",CS1,"-53,227073","-20,100984"
C1ES,LAGOA COMPRIDA II,"922,98285",CS1,"-53,207068","-20,449138"
C1ET,JATAÍ,"678,472942",CS1,"-53,131656","-20,38232"
C1EU,NELORE,"2723,059578",CS1,"-53,570509","-20,14282"
C1EV,SOL NASCENTE II,"111,070691",CS1,"-53,474134","-19,999895"
C1EW,GUAVIRA II,"105,152141",CS1,"-53,521812","-20,033884"
C1EX,SERIEMA II,"312,094891",CS1,"-53,884376","-20,129506"
C1EY,RIO PARDO,"115,292142",CS1,"-53,623152","-20,496524"
C1EZ,CLODASIL,"6353,267533",CS1,"-53,666765","-19,827288"
C1GB,COLÔNIA BARRINHA GERAL,"81,679977",CS1,"-53,707004","-20,498865"
C1GC,RECREIO,"3289,679561",CS1,"-53,87585","-20,254931"
C1GD,ESPIRITO SANTO,"107,356235",CS1,"-53,522076","-20,03994"
C1GE,CAR29,"205,623275",CS1,"-53,719753","-20,424498"
C1GF,ÁGUA VERDE,"315,357805",CS1,"-53,740871","-20,293308"
C1GG,TODOS OS SANTOS II,"772,314836",CS1,"-53,739002","-19,839214"
C1GH,PRIMAVERA IV,"610,759126",CS1,"-53,128531","-20,45461"
C1GI,VARGEÃO,"598,487021",CS1,"-53,567717","-20,546117"
C1GJ,CÓRREGO DO BUGRE,"1013,129285",CS1,"-53,689823","-20,367115"
C1GK,VÓ CECÍLIA II,"796,536327",CS1,"-53,737857","-20,082897"
C1GM,GOAÇU,"2970,567535",CS1,"-53,344786","-20,033087"
C1GN,JARDIM,"291,200821",CS1,"-53,891557","-20,305446"
C1GO,RIATA,"423,475675",CS1,"-53,870336","-20,286437"
C1GP,SANTA ROSA VII,"1537,672857",CS1,"-53,861155","-20,319355"
C1GQ,IRMÃO DA ESTRADA,"136,786913",CS1,"-53,511479","-20,07658"
C1GR,SD PECUÁRIA,"236,67445",CS1,"-53,509083","-20,033692"
C1GS,ARARAS III,"347,955269",CS1,"-53,518033","-20,061442"
C1GT,MARIANA II,"280,249064",CS1,"-53,499686","-20,056789"
C1GU,ARARAS IV,"116,731409",CS1,"-53,506384","-20,047702"
C1GV,ARARAS V,"156,754796",CS1,"-53,495274","-20,040422"
C1GW,COQUEIRO,"1454,997969",CS1,"-53,619598","-20,323471"
C1GX,JARDIM II,"507,882016",CS1,"-53,407356","-20,384567"
C1GY,FAXINAL,"4665,583875",CS1,"-52,599063","-20,169772"
C1GZ,SANTO ONOFRE,"1055,268275",CS1,"-53,415726","-20,180263"
C1JA,SANTA TEREZA II,"712,15706",CS1,"-53,471569","-20,395027"
C1JB,BOM SUCESSO II,"1606,745212",CS1,"-53,79757","-20,145109"
C1JC,SÃO JORGE II,"442,950826",CS1,"-53,501143","-20,078128"
C1JD,CÓRREGO DO BUGRE II,"1585,004452",CS1,"-53,722633","-20,361333"
C1JF,GUARANI II,"2312,286613",CS1,"-52,870946","-20,183346"
C1JG,EUROPA,"3329,468381",CS1,"-53,945091","-20,137227"
C1JH,NOSSA SENHORA APARECIDA IX,"779,376669",CS1,"-52,896222","-20,119303"
C1JI,UNIÃO II,"4702,752541",CS1,"-52,757666","-20,528034"
C1JJ,CONQUISTA IV,"961,545717",CS1,"-53,144551","-20,474615"
C1JK,CABECEIRA FUNDA,"2168,506691",CS1,"-53,45356","-20,147571"
C1JM,ITACURU,"2654,126131",CS1,"-53,966254","-20,062524"
C1JN,VERDE MAR II,"9604,574407",CS1,"-53,439947","-20,046804"
C1JP,ITAPORÃ,"4845,603304",CS1,"-53,916878","-20,067916"
C1JQ,SANTO ANTÔNIO DO MONTE ALEGRE,"3490,47657",CS1,"-52,539274","-20,174181"
C1JR,VERDE MAR,"7790,035998",CS1,"-52,832515","-20,149782"
C1JT,RECANTO DAS EMAS,"252,97564",CS1,"-53,936595","-20,305088"
C1JU,ANA PAULA,"1038,793432",CS1,"-53,050359","-20,480125"
C1JV,NOSSA SENHORA DE FÁTIMA II,"1301,12846",CS1,"-53,682531","-19,976886"
C1JW,SANTÍSSIMA TRINDADE,"209,35531",CS1,"-53,530412","-20,070779"
C1JX,RECANTO DAS EMAS II,"663,166054",CS1,"-53,954085","-20,296255"
C1JY,CAR30,"1498,711433",CS1,"-53,98361","-20,174842"
C1JZ,CAR25,"558,38161",CS1,"-53,980326","-20,224137"
C1KB,SANTA LUCIA III,"1833,0624",CS1,"-53,697876","-20,429619"
C1KC,SÃO BENTO IV,"455,510525",CS1,"-53,625611","-20,412843"
C1KD,BOM JESUS DO RIO PARDO,"1495,472729",CS1,"-53,811933","-20,329603"
C1KE,GUAVIRA II,"28,673937",CS1,"-53,507789","-20,04288"
